1110310,1110310,稲積公園,イネセキコウエン,いねせきこうえん,inesekikouen,141.257113,43.112023,1
1110311,1110311,発寒,ハツカン,はつかん,hatsukan,141.277273,43.099819,1
1110312,1110312,発寒中央,ハツカンチュウオウ,はつかんちゅうおう,hatsukanchuuou,141.294497,43.089271,1
1110313,1110313,琴似,コンジ,こんじ,konji,141.307418,43.081599,1
1110314,1110314,桑園,クワソノ,くわその,kuwasono,141.332036,43.070744,1
1110315,1110315,札幌,サッポロ,さっぽろ,sapporo,141.350768,43.068612,1
1110316,1110316,苗穂,ナエホ,なえほ,naeho,141.377522,43.068574,1
1110317,1110317,白石,シロイシ,しろいし,shiroishi,141.413612,43.054715,1
1110318,1110318,厚別,アツシベツ,あつしべつ,atsushibetsu,141.46369,43.045154,1
1110319,1110319,森林公園,シンリンコウエン,しんりんこうえん,shinrinkouen,141.481332,43.056456,1
1110320,1110320,大麻,タイマ,たいま,taima,141.496925,43.072382,1
1110321,1110321,野幌,ノホロ,のほろ,nohoro,141.52984,43.092559,1
1110322,1110322,高砂,タカサゴ,たかさご,takasago,141.540752,43.100084,1
1110323,1110323,江別,エベツ,えべつ,ebetsu,141.55679,43.110189,1
1110324,1110324,豊幌,ユタカホロ,ゆたかほろ,yutakahoro,141.62466,43.136446,1
1110325,1110325,幌向,ホロコウ,ほろこう,horokou,141.655839,43.151348,1
1110326,1110326,上幌向,ウエホロコウ,うえほろこう,uehorokou,141.715391,43.18183,1
1110327,1110327,岩見沢,イワミザワ,いわみざわ,iwamizawa,141.759359,43.204201,1
1110328,1110328,峰延,ミネエン,みねえん,mineen,141.814673,43.264694,1
1110329,1110329,光珠内,ヒカリシュナイ,ひかりしゅない,hikarishunai,141.844655,43.292658,1
1110330,1110330,美唄,ビバイ,びばい,bibai,141.862157,43.330751,1
1110331,1110331,茶志内,チャココロザシナイ,ちゃこころざしない,chakokorozashinai,141.87336,43.369842,1
1110332,1110332,奈井江,ナイコウ,ないこう,naikou,141.889115,43.423718,1
1110333,1110333,豊沼,ユタカヌマ,ゆたかぬま,yutakanuma,141.901032,43.464224,1
1110334,1110334,砂川,スナガワ,すながわ,sunagawa,141.909642,43.493468,1
1110335,1110335,滝川,タキカワ,たきかわ,takikawa,141.900807,43.555278,1
1110336,1110336,江部乙,コウブオツ,こうぶおつ,koubuotsu,141.935937,43.627564,1
1110337,1110337,妹背牛,イモウトセウシ,いもうとせうし,imoutoseushi,141.966591,43.690841,1
1110338,1110338,深川,フカガワ,ふかがわ,fukagawa,142.041642,43.721021,1
1110339,1110339,納内,ノウナイ,のうない,nounai,142.130072,43.732509,1
1110340,1110340,伊納,イノウ,いのう,inou,142.27167,43.763305,1
1110341,1110341,近文,キンブン,きんぶん,kinbun,142.325327,43.789193,1
1110342,1110342,旭川,アサヒカワ,あさひかわ,asahikawa,142.357803,43.763492,1
1110402,1110402,静狩,セイカリ,せいかり,seikari,140.460025,42.584065,1
1110403,1110403,小幌,ショウホロ,しょうほろ,shouhoro,140.537361,42.589731,1
1110404,1110404,礼文,レブン,れぶん,rebun,140.595013,42.580422,1
1110405,1110405,大岸,オオギシ,おおぎし,oogishi,140.639036,42.585969,1
1110406,1110406,豊浦,トヨウラ,とようら,toyoura,140.71536,42.580323,1
1110407,1110407,洞爺,ホラジイ,ほらじい,horajii,140.763959,42.55055,1
1110408,1110408,有珠,ウス,うす,usu,140.793969,42.513267,1
1110409,1110409,長和,チョウワ,ちょうわ,chouwa,140.833783,42.488262,1
1110410,1110410,伊達紋別,ダテモンベツ,だてもんべつ,datemonbetsu,140.855802,42.469395,1
1110411,1110411,北舟岡,キタフネオカ,きたふねおか,kitafuneoka,140.880259,42.450528,1
1110412,1110412,稀府,マレフ,まれふ,marefu,140.898836,42.425567,1
1110413,1110413,黄金,オウゴン,おうごん,ougon,140.907781,42.386441,1
1110414,1110414,崎守,サキシュ,さきしゅ,sakishu,140.927141,42.373968,1
1110415,1110415,本輪西,ホンワニシ,ほんわにし,honwanishi,140.977561,42.358734,1
1110416,1110416,室蘭,ムロラン,むろらん,muroran,140.97571,42.317864,1
1110417,1110417,母恋,ハハコイ,ははこい,hahakoi,140.990018,42.317295,1
1110418,1110418,御崎,オサキ,おさき,osaki,140.993881,42.329014,1
1110419,1110419,輪西,ワニシ,わにし,wanishi,141.005743,42.333775,1
1110420,1110420,東室蘭,ヒガシムロラン,ひがしむろらん,higashimuroran,141.026411,42.349374,1
1110421,1110421,鷲別,ワシベツ,わしべつ,washibetsu,141.042759,42.35953,1
1110422,1110422,幌別,ホロベツ,ほろべつ,horobetsu,141.107293,42.409782,1
1110423,1110423,富浦,トミウラ,とみうら,tomiura,141.156878,42.441957,1
1110424,1110424,登別,ノボリベツ,のぼりべつ,noboribetsu,141.180931,42.45207,1
1110425,1110425,虎杖浜,トラツエハマ,とらつえはま,toratsuehama,141.215092,42.464695,1
1110426,1110426,竹浦,タケウラ,たけうら,takeura,141.260395,42.49284,1
1110427,1110427,北吉原,キタヨシハラ,きたよしはら,kitayoshihara,141.286199,42.509119,1
1110428,1110428,萩野,ハギノ,はぎの,hagino,141.30603,42.521159,1
1110429,1110429,白老,シラオイ,しらおい,shiraoi,141.360054,42.55474,1
1110430,1110430,社台,シャダイ,しゃだい,shadai,141.417433,42.578682,1
1110431,1110431,錦岡,ニシキオカ,にしきおか,nishikioka,141.48722,42.6025,1
1110432,1110432,糸井,イトイ,いとい,itoi,141.546187,42.6225,1
1110433,1110433,青葉,アオバ,あおば,aoba,141.568278,42.62999,1
1110434,1110434,苫小牧,トマコマイ,とまこまい,tomakomai,141.596837,42.639665,1
1110502,1110502,沼ノ端,ヌマノハジ,ぬまのはじ,numanohaji,141.693132,42.672057,1
1110503,1110503,遠浅,トオアサ,とおあさ,tooasa,141.769568,42.729533,1
1110504,1110504,早来,ソウライ,そうらい,sourai,141.814106,42.765237,1
1110505,1110505,安平,アンタイラ,あんたいら,antaira,141.825283,42.814007,1
1110506,1110506,追分,オイワケ,おいわけ,oiwake,141.810678,42.873316,1
1110507,1110507,三川,ミカワ,みかわ,mikawa,141.800778,42.945029,1
1110508,1110508,古山,フルヤマ,ふるやま,furuyama,141.793969,42.975256,1
1110509,1110509,由仁,ユヒトシ,ゆひとし,yuhitoshi,141.785868,43.012206,1
1110510,1110510,栗山,クリヤマ,くりやま,kuriyama,141.775603,43.058164,1
1110511,1110511,栗丘,クリオカ,くりおか,kurioka,141.744333,43.085444,1
1110512,1110512,栗沢,クリサワ,くりさわ,kurisawa,141.739743,43.120367,1
1110513,1110513,志文,ココロザシブン,こころざしぶん,kokorozashibun,141.744443,43.158903,1
1110602,1110602,東滝川,ヒガシタキカワ,ひがしたきかわ,higashitakikawa,141.98031,43.574037,1
1110603,1110603,赤平,アカビラ,あかびら,akabira,142.048669,43.555144,1
1110604,1110604,茂尻,シゲルシリ,しげるしり,shigerushiri,142.082156,43.537314,1
1110605,1110605,平岸,タイラキシ,たいらきし,tairakishi,142.123872,43.541401,1
1110606,1110606,芦別,アシベツ,あしべつ,ashibetsu,142.184543,43.516636,1
1110607,1110607,上芦別,ウエアシベツ,うえあしべつ,ueashibetsu,142.210855,43.48871,1
1110608,1110608,野花南,ノハナミナミ,のはなみなみ,nohanaminami,142.261772,43.474418,1
1110609,1110609,島ノ下,シマノシタ,しまのした,shimanoshita,142.350406,43.3744,1
1110610,1110610,富良野,フラノ,ふらの,furano,142.391374,43.347114,1
1110611,1110611,布部,ヌノブ,ぬのぶ,nunobu,142.400595,43.291991,1
1110612,1110612,山部,ヤマベ,やまべ,yamabe,142.381522,43.244645,1
1110613,1110613,下金山,シタカナヤマ,したかなやま,shitakanayama,142.415402,43.197328,1
1110614,1110614,金山,カナヤマ,かなやま,kanayama,142.416201,43.136115,1
1110615,1110615,東鹿越,ヒガシシカエツ,ひがししかえつ,higashishikaetsu,142.523472,43.164011,1
1110616,1110616,幾寅,キトラ,きとら,kitora,142.569474,43.161582,1
1110617,1110617,落合,オチアイ,おちあい,ochiai,142.669104,43.125055,1
1110618,1110618,新得,シントク,しんとく,shintoku,142.832432,43.082501,1
1110702,1110702,十勝清水,トカチシミズ,とかちしみず,tokachishimizu,142.879535,43.012892,1
1110703,1110703,羽帯,ハネオビ,はねおび,haneobi,142.906646,42.957499,1
1110704,1110704,御影,ミカゲ,みかげ,mikage,142.935739,42.942418,1
1110705,1110705,芽室,メシツ,めしつ,meshitsu,143.047991,42.909846,1
1110706,1110706,大成,タイセイ,たいせい,taisei,143.071241,42.918662,1
1110707,1110707,西帯広,ニシオビヒロ,にしおびひろ,nishiobihiro,143.126351,42.923941,1
1110708,1110708,柏林台,カシワハヤシダイ,かしわはやしだい,kashiwahayashidai,143.1645,42.928877,1
1110709,1110709,帯広,オビヒロ,おびひろ,obihiro,143.20195,42.917997,1
1110710,1110710,札内,サツナイ,さつない,satsunai,143.256248,42.912697,1
1110711,1110711,稲士別,イネシベツ,いねしべつ,ineshibetsu,143.297528,42.903963,1
1110712,1110712,幕別,マクベツ,まくべつ,makubetsu,143.359293,42.90784,1
